jday	Time	u_ref	T_ref	d_ref	precip	q_par	T_canopy	d_canopy	p_atm	CO2_atm	T0	Tsurf	Troot	Zw	lai	A	Ec
182	19	0.85	19.9866803278689	0.982069054	0	769.6903464	19.9866803278689	0.982069054	83.80645435	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	19.5	0.85	19.9866803278689	0.960255458	0	575.0914181	19.9866803278689	0.960255458	83.79312211	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	20	0.85	19.9866803278689	0.976342704	5	389.426204	19.9866803278689	0.976342704	83.79312211	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	20.5	0.85	19.9866803278689	0.562681854	0	215.589715	19.9866803278689	0.562681854	83.87311555	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	21	0.85	19.9866803278689	0.52516265	0	70.36124627	19.9866803278689	0.52516265	83.87311555	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	21.5	0.85	19.9866803278689	0.529687391	0	11.272901	19.9866803278689	0.529687391	83.84645107	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	22	0.85	19.9866803278689	0.552592791	0	0	19.9866803278689	0.552592791	83.84645107	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	22.5	0.85	19.9866803278689	0.586950893	0	0	19.9866803278689	0.586950893	83.87311555	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	23	0.85	19.9866803278689	0.629040977	0	0	19.9866803278689	0.629040977	83.87311555	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	23.5	0.85	19.9866803278689	0.655010558	0	0	19.9866803278689	0.655010558	83.88644779	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
182	24	0.85	19.9866803278689	0.675209122	0	0	19.9866803278689	0.675209122	83.88644779	380	19.9866803278689	19.9866803278689	19.9866803278689	10	1	-999	-999
